database,alloy,T_C,phase,label,set_index,fraction
mc_fe,benchmark,840.0,FCC_A1,FCC_A1,1,0.020764725895258
mc_fe,benchmark,840.0,LIQUID,LIQUID,2,0.0018282016763020354
mc_fe,benchmark,850.0,BCC_A2,BCC_A2,0,0.9792125676825058
mc_fe,benchmark,850.0,FCC_A1,FCC_A1,1,0.019020228407630693
mc_fe,benchmark,850.0,LIQUID,LIQUID,2,0.0017672038850740008
mc_fe,benchmark,860.0,FCC_A1,FCC_A1,0,0.017296278473306576
mc_fe,benchmark,860.0,BCC_A2,BCC_A2,1,0.9810038504109102
mc_fe,benchmark,860.0,LIQUID,LIQUID,2,0.0016998710775086774
mc_fe,benchmark,870.0,BCC_A2,BCC_A2,0,0.982790008012412
mc_fe,benchmark,870.0,FCC_A1,FCC_A1,1,0.015584304356126146
mc_fe,benchmark,870.0,LIQUID,LIQUID,2,0.0016256876204649908
mc_fe,benchmark,880.0,FCC_A1,FCC_A1,0,0.013876416207204973
mc_fe,benchmark,880.0,BCC_A2,BCC_A2,1,0.9845794718001938
mc_fe,benchmark,880.0,LIQUID,LIQUID,2,0.0015441119516248413
mc_fe,benchmark,890.0,BCC_A2,BCC_A2,0,0.9863800949074627
mc_fe,benchmark,890.0,FCC_A1,FCC_A1,1,0.012165328520027484
mc_fe,benchmark,890.0,LIQUID,LIQUID,2,0.0014545766060585143
mc_fe,benchmark,900.0,FCC_A1,FCC_A1,0,0.010444290067338087
mc_fe,benchmark,900.0,BCC_A2,BCC_A2,1,0.9881992213315018
mc_fe,benchmark,900.0,LIQUID,LIQUID,2,0.001356488548634341
mc_fe,benchmark,910.0,BCC_A2,BCC_A2,0,0.9900437472434777
mc_fe,benchmark,910.0,FCC_A1,FCC_A1,1,0.008707022969935438
mc_fe,benchmark,910.0,LIQUID,LIQUID,2,0.0012492297686289725
mc_fe,benchmark,920.0,BCC_A2,BCC_A2,0,0.9919201733079076
mc_fe,benchmark,920.0,FCC_A1,FCC_A1,1,0.006947668871300237
mc_fe,benchmark,920.0,LIQUID,LIQUID,2,0.001132157783055392
mc_fe,benchmark,930.0,FCC_A1,FCC_A1,0,0.00516074186094463
mc_fe,benchmark,930.0,LIQUID,LIQUID,1,0.0010046065745710124
mc_fe,benchmark,930.0,BCC_A2,BCC_A2,2,0.9938346515973919
mc_fe,benchmark,940.0,FCC_A1,FCC_A1,0,0.003341086705461966
