database,series,ni_at,T_C,label,fraction,alpha_solvus_C,solidus_C
mpea-02b,C_measured,4.6,1260.0,B2_BCC[A2],0.8653226937498127,,1300.0
mpea-02b,C_measured,4.6,1270.0,A1_FCC,0.11391868572964683,,1300.0
mpea-02b,C_measured,4.6,1270.0,B2_BCC[A2],0.8860813142654064,,1300.0
mpea-02b,C_measured,4.6,1280.0,A1_FCC,0.09439775086636647,,1300.0
mpea-02b,C_measured,4.6,1280.0,B2_BCC[A2],0.9056022491459337,,1300.0
mpea-02b,C_measured,4.6,1290.0,A1_FCC,0.07590817790002526,,1300.0
mpea-02b,C_measured,4.6,1290.0,B2_BCC[A2],0.9240918220974013,,1300.0
mpea-02b,C_measured,4.6,1300.0,LIQUID,0.04140389677186717,,1300.0
mpea-02b,C_measured,4.6,1300.0,B2_BCC[A2],0.9585961032378324,,1300.0
mpea-02b,C_measured,4.6,1310.0,LIQUID,0.056348239506848065,,1300.0
mpea-02b,C_measured,4.6,1310.0,B2_BCC[A2],0.9436517605155788,,1300.0
mpea-02b,C_measured,4.6,1320.0,LIQUID,0.07625439119380877,,1300.0
mpea-02b,C_measured,4.6,1320.0,B2_BCC[A2],0.9237456088198633,,1300.0
mpea-02b,C_measured,4.6,1330.0,A1_FCC,0.5864396190850522,,1300.0
mpea-02b,C_measured,4.6,1330.0,LIQUID,0.41356038088556557,,1300.0
mpea-02b,C_measured,4.6,1340.0,A1_FCC,0.2676824877830697,,1300.0
mpea-02b,C_measured,4.6,1340.0,LIQUID,0.7323175122015089,,1300.0
mpea-02b,C_measured,4.6,1350.0,LIQUID,0.196407967649969,,1300.0
mpea-02b,C_measured,4.6,1350.0,B2_BCC[A2],0.8035920323830019,,1300.0
mpea-02b,C_measured,4.6,1360.0,LIQUID,0.2760061774738314,,1300.0
mpea-02b,C_measured,4.6,1360.0,B2_BCC[A2],0.7239938224981434,,1300.0
mpea-02b,C_measured,4.6,1370.0,LIQUID,0.3900908781227219,,1300.0
mpea-02b,C_measured,4.6,1370.0,B2_BCC[A2],0.6099091218597604,,1300.0
mpea-02b,C_measured,4.6,1380.0,LIQUID,0.5471217346035391,,1300.0
mpea-02b,C_measured,4.6,1380.0,B2_BCC[A2],0.4528782653887058,,1300.0
mpea-02b,C_measured,4.6,1390.0,LIQUID,0.7518733607275873,,1300.0
mpea-02b,C_measured,4.6,1390.0,B2_BCC[A2],0.24812663923364137,,1300.0
mpea-02b,C_measured,4.6,1400.0,LIQUID,1.0000000000533327,,1300.0
mpea-02b,C_measured,4.6,450.0,A1_FCC,0.8847089074343552,,1300.0
mpea-02b,C_measured,4.6,450.0,B2_BCC[ordered],0.11529109256524855,,1300.0
mpea-02b,C_measured,4.6,475.0,A1_FCC,0.8877334820292644,,1300.0
mpea-02b,C_measured,4.6,475.0,B2_BCC[ordered],0.11226651797516106,,1300.0
mpea-02b,C_measured,4.6,500.0,A1_FCC,0.8912132148368935,,1300.0
mpea-02b,C_measured,4.6,500.0,B2_BCC[ordered],0.108786785175484,,1300.0
mpea-02b,C_measured,4.6,525.0,A1_FCC,0.8951497954114304,,1300.0
mpea-02b,C_measured,4.6,525.0,B2_BCC[ordered],0.10485020456833263,,1300.0
mpea-02b,C_measured,4.6,550.0,A1_FCC,0.8995402582377562,,1300.0
